city,sensor_samples,detectors_samples,rainfall_samples,rainfall_max,rainfall_min,high_rainfall_days,rainfall_time_spans
augsburg,3443577,717,20,25.7,9.0,15,2017/05/06-2017/05/25
basel,155232,77,8,26.2,8.6,4,2016/10/24-2016/10/31
bern,1526032,755,8,26.2,6.7,3,2016/10/24-2016/10/31
birmingham,112463,66,12,34.0,6.5,8,"2017/10/23-2017/10/28, 2017/11/13-2017/11/18"
bolton,246842,166,6,19.3,7.7,3,2017/11/13-2017/11/18
bordeaux,844416,438,7,22.4,10.4,6,2016/11/21-2016/11/27
bremen,3578512,548,14,26.9,12.5,13,2016/09/19-2016/10/02
cagliari,2820293,122,50,29.4,11.3,41,"2016/05/16-2016/05/20, 2016/05/23-2016/05/27, 2016/05/30-2016/06/03, 2016/06/13-2016/06/17, 2016/06/20-2016/06/24, 2016/06/27-2016/07/01, 2016/07/04-2016/07/08, 2016/07/11-2016/07/15, 2016/07/18-2016/07/22, 2016/07/25-2016/07/29"
constance,245952,122,7,13.7,5.2,0,2017/02/13-2017/02/19
darmstadt,4677926,392,39,30.1,6.7,17,"2015/09/21-2015/09/25, 2015/09/28-2015/10/02, 2015/10/05-2015/10/09, 2015/10/12-2015/10/16, 2016/04/11-2016/04/15, 2016/04/18-2016/04/22, 2016/04/25-2016/04/29, 2016/05/02-2016/05/04, 2016/05/06-2016/05/06"
essen,291893,38,35,33.8,8.3,30,"2017/03/27-2017/03/31, 2017/09/01-2017/09/30"
frankfurt,30638,112,1,12.0,12.0,0,2016/12/21-2016/12/21
graz,847827,300,10,24.4,12.8,6,"2016/04/04-2016/04/08, 2016/09/19-2016/09/23"
groningen,28378,55,2,23.8,17.2,2,"2017/09/21-2017/09/21, 2017/10/06-2017/10/06"
hamburg,20415435,419,105,33.4,4.6,61,2016/08/27-2016/12/09
innsbruck,138240,16,30,11.3,2.7,0,2017/04/01-2017/04/30
kassel,534684,513,6,30.3,14.7,5,2016/08/28-2016/09/02
london,34397322,5719,23,25.2,8.8,10,"2015/05/15-2015/05/23, 2015/09/25-2015/10/01, 2016/05/16-2016/05/22"
losanageles,0,1725,0,,,0,
losangeles,4611254,0,6,13.3,8.2,0,"2017/10/02-2017/10/04, 2017/10/06-2017/10/06, 2017/10/09-2017/10/10"
luzern,26878297,158,365,33.3,2.8,126,2015/01/01-2015/12/31
madrid,5070083,1116,20,22.3,7.2,5,"2016/08/29-2016/08/31, 2016/12/12-2016/12/16, 2017/10/29-2017/10/31, 2017/11/03-2017/11/11"
manchester,1142893,181,28,33.4,7.3,23,"2017/09/08-2017/09/18, 2017/09/20-2017/09/20, 2017/09/22-2017/10/01, 2017/11/13-2017/11/18"
marseille,2433600,169,31,35.3,12.2,30,2017/06/01-2017/07/01
melbourne,1369849,1630,15,37.8,14.2,13,2018/02/12-2018/02/26
munich,149270,520,1,5.8,5.8,0,2017/02/14-2017/02/14
paris,1548314,247,336,43.3,3.2,200,2016/01/01-2016/12/01
rotterdam,351257,259,6,22.9,13.1,5,"2017/09/21-2017/09/21, 2017/10/06-2017/10/06, 2017/10/30-2017/11/02"
santander,490136,219,11,32.9,14.4,10,"2016/06/17-2016/06/20, 2016/08/08-2016/08/09, 2016/09/12-2016/09/13, 2016/11/30-2016/12/02"
speyer,1235392,184,14,30.5,13.2,12,2016/09/19-2016/10/02
strasbourg,1327558,142,25,29.4,8.7,16,"2017/05/10-2017/05/21, 2017/10/29-2017/11/03, 2017/11/05-2017/11/11"
stuttgart,600192,298,8,32.8,9.1,5,"2016/03/21-2016/03/23, 2016/07/18-2016/07/22"
taipeh,2408368,445,14,56.5,36.0,14,2017/09/18-2017/10/01
tokyo,0,1887,0,,,0,
torino,2080768,399,21,26.5,7.5,10,2016/09/26-2016/10/16
toronto,1042330,188,61,51.0,2.4,30,"2016/09/01-2016/09/30, 2017/01/01-2017/01/31"
toulouse,1602720,478,7,,,0,"2008/05/16-2008/05/16, 2008/05/23-2008/05/23, 2008/05/30-2008/05/30, 2008/06/06-2008/06/06, 2008/06/13-2008/06/13, 2008/06/20-2008/06/20, 2008/06/27-2008/06/27"
utrecht,1174140,1072,4,33.5,18.5,4,2017/06/12-2017/06/15
vilnius,209614,581,1,5.7,5.7,0,2015/03/17-2015/03/17
wolfsburg,893672,133,14,26.6,13.6,13,2016/09/19-2016/10/02
zurich,3425002,1020,7,21.0,6.4,2,2015/10/26-2015/11/01
