city,lat,lon,date,rainfall
augsburg,48.3690341,10.8979522,2017-05-06,
augsburg,48.3690341,10.8979522,2017-05-07,
augsburg,48.3690341,10.8979522,2017-05-08,
augsburg,48.3690341,10.8979522,2017-05-09,
augsburg,48.3690341,10.8979522,2017-05-10,
augsburg,48.3690341,10.8979522,2017-05-11,
augsburg,48.3690341,10.8979522,2017-05-12,
augsburg,48.3690341,10.8979522,2017-05-13,
augsburg,48.3690341,10.8979522,2017-05-14,
augsburg,48.3690341,10.8979522,2017-05-15,
augsburg,48.3690341,10.8979522,2017-05-16,
augsburg,48.3690341,10.8979522,2017-05-17,
augsburg,48.3690341,10.8979522,2017-05-18,
augsburg,48.3690341,10.8979522,2017-05-19,
augsburg,48.3690341,10.8979522,2017-05-20,
augsburg,48.3690341,10.8979522,2017-05-21,
augsburg,48.3690341,10.8979522,2017-05-22,
augsburg,48.3690341,10.8979522,2017-05-23,
augsburg,48.3690341,10.8979522,2017-05-24,
augsburg,48.3690341,10.8979522,2017-05-25,
basel,47.5581077,7.5878261,2016-10-24,
basel,47.5581077,7.5878261,2016-10-25,
basel,47.5581077,7.5878261,2016-10-26,
basel,47.5581077,7.5878261,2016-10-27,
basel,47.5581077,7.5878261,2016-10-28,
basel,47.5581077,7.5878261,2016-10-29,
basel,47.5581077,7.5878261,2016-10-30,
basel,47.5581077,7.5878261,2016-10-31,
bern,46.9484742,7.4521749,2016-10-24,
bern,46.9484742,7.4521749,2016-10-25,
bern,46.9484742,7.4521749,2016-10-26,
bern,46.9484742,7.4521749,2016-10-27,
bern,46.9484742,7.4521749,2016-10-28,
bern,46.9484742,7.4521749,2016-10-29,
bern,46.9484742,7.4521749,2016-10-30,
bern,46.9484742,7.4521749,2016-10-31,
birmingham,52.4796992,-1.9026911,2017-10-24,
birmingham,52.4796992,-1.9026911,2017-10-26,
birmingham,52.4796992,-1.9026911,2017-10-27,
birmingham,52.4796992,-1.9026911,2017-10-23,
birmingham,52.4796992,-1.9026911,2017-10-25,
birmingham,52.4796992,-1.9026911,2017-10-28,
birmingham,52.4796992,-1.9026911,2017-11-13,
birmingham,52.4796992,-1.9026911,2017-11-14,
birmingham,52.4796992,-1.9026911,2017-11-15,
birmingham,52.4796992,-1.9026911,2017-11-16,
birmingham,52.4796992,-1.9026911,2017-11-17,
birmingham,52.4796992,-1.9026911,2017-11-18,
bolton,53.5782863,-2.4300367,2017-11-13,
bolton,53.5782863,-2.4300367,2017-11-14,
bolton,53.5782863,-2.4300367,2017-11-15,
bolton,53.5782863,-2.4300367,2017-11-16,
bolton,53.5782863,-2.4300367,2017-11-17,
bolton,53.5782863,-2.4300367,2017-11-18,
bordeaux,44.841225,-0.5800364,2016-11-21,
bordeaux,44.841225,-0.5800364,2016-11-22,
bordeaux,44.841225,-0.5800364,2016-11-23,
bordeaux,44.841225,-0.5800364,2016-11-24,
bordeaux,44.841225,-0.5800364,2016-11-25,
bordeaux,44.841225,-0.5800364,2016-11-26,
bordeaux,44.841225,-0.5800364,2016-11-27,
bremen,53.0758196,8.8071646,2016-09-19,
bremen,53.0758196,8.8071646,2016-09-20,
bremen,53.0758196,8.8071646,2016-09-21,
bremen,53.0758196,8.8071646,2016-09-22,
bremen,53.0758196,8.8071646,2016-09-23,
bremen,53.0758196,8.8071646,2016-09-24,
bremen,53.0758196,8.8071646,2016-09-25,
bremen,53.0758196,8.8071646,2016-09-26,
bremen,53.0758196,8.8071646,2016-09-27,
bremen,53.0758196,8.8071646,2016-09-28,
bremen,53.0758196,8.8071646,2016-09-29,
bremen,53.0758196,8.8071646,2016-09-30,
bremen,53.0758196,8.8071646,2016-10-01,
bremen,53.0758196,8.8071646,2016-10-02,
cagliari,39.2171994,9.113311,2016-05-30,
cagliari,39.2171994,9.113311,2016-05-31,
cagliari,39.2171994,9.113311,2016-06-01,
cagliari,39.2171994,9.113311,2016-06-02,
cagliari,39.2171994,9.113311,2016-06-03,
cagliari,39.2171994,9.113311,2016-06-27,
cagliari,39.2171994,9.113311,2016-06-28,
cagliari,39.2171994,9.113311,2016-06-29,
cagliari,39.2171994,9.113311,2016-06-30,
cagliari,39.2171994,9.113311,2016-07-01,
cagliari,39.2171994,9.113311,2016-07-25,
cagliari,39.2171994,9.113311,2016-07-26,
cagliari,39.2171994,9.113311,2016-07-27,
cagliari,39.2171994,9.113311,2016-07-28,
cagliari,39.2171994,9.113311,2016-07-29,
cagliari,39.2171994,9.113311,2016-05-23,
cagliari,39.2171994,9.113311,2016-05-24,
cagliari,39.2171994,9.113311,2016-05-25,
cagliari,39.2171994,9.113311,2016-05-26,
cagliari,39.2171994,9.113311,2016-05-27,
cagliari,39.2171994,9.113311,2016-06-20,
cagliari,39.2171994,9.113311,2016-06-21,
cagliari,39.2171994,9.113311,2016-06-22,
cagliari,39.2171994,9.113311,2016-06-23,
cagliari,39.2171994,9.113311,2016-06-24,
cagliari,39.2171994,9.113311,2016-07-18,
cagliari,39.2171994,9.113311,2016-07-19,
cagliari,39.2171994,9.113311,2016-07-20,
cagliari,39.2171994,9.113311,2016-07-21,
cagliari,39.2171994,9.113311,2016-07-22,
cagliari,39.2171994,9.113311,2016-05-16,
cagliari,39.2171994,9.113311,2016-05-17,
cagliari,39.2171994,9.113311,2016-05-18,
cagliari,39.2171994,9.113311,2016-05-19,
cagliari,39.2171994,9.113311,2016-05-20,
cagliari,39.2171994,9.113311,2016-06-13,
cagliari,39.2171994,9.113311,2016-06-14,
cagliari,39.2171994,9.113311,2016-06-15,
cagliari,39.2171994,9.113311,2016-06-16,
cagliari,39.2171994,9.113311,2016-06-17,
cagliari,39.2171994,9.113311,2016-07-11,
cagliari,39.2171994,9.113311,2016-07-12,
cagliari,39.2171994,9.113311,2016-07-13,
cagliari,39.2171994,9.113311,2016-07-14,
cagliari,39.2171994,9.113311,2016-07-15,
cagliari,39.2171994,9.113311,2016-07-04,
cagliari,39.2171994,9.113311,2016-07-05,
cagliari,39.2171994,9.113311,2016-07-06,
cagliari,39.2171994,9.113311,2016-07-07,
cagliari,39.2171994,9.113311,2016-07-08,
constance,47.659216,9.1750718,2017-02-13,
constance,47.659216,9.1750718,2017-02-14,
constance,47.659216,9.1750718,2017-02-15,
constance,47.659216,9.1750718,2017-02-16,
constance,47.659216,9.1750718,2017-02-17,
constance,47.659216,9.1750718,2017-02-18,
constance,47.659216,9.1750718,2017-02-19,
darmstadt,49.8851869,8.6736295,2015-10-05,
darmstadt,49.8851869,8.6736295,2015-10-06,
darmstadt,49.8851869,8.6736295,2015-10-07,
darmstadt,49.8851869,8.6736295,2015-10-08,
darmstadt,49.8851869,8.6736295,2015-10-09,
darmstadt,49.8851869,8.6736295,2015-10-12,
darmstadt,49.8851869,8.6736295,2015-10-13,
darmstadt,49.8851869,8.6736295,2015-10-14,
darmstadt,49.8851869,8.6736295,2015-10-15,
darmstadt,49.8851869,8.6736295,2015-10-16,
darmstadt,49.8851869,8.6736295,2015-09-21,
darmstadt,49.8851869,8.6736295,2015-09-22,
darmstadt,49.8851869,8.6736295,2015-09-23,
darmstadt,49.8851869,8.6736295,2015-09-24,
darmstadt,49.8851869,8.6736295,2015-09-25,
darmstadt,49.8851869,8.6736295,2015-10-01,
darmstadt,49.8851869,8.6736295,2015-10-02,
darmstadt,49.8851869,8.6736295,2015-09-28,
darmstadt,49.8851869,8.6736295,2015-09-29,
darmstadt,49.8851869,8.6736295,2015-09-30,
darmstadt,49.8851869,8.6736295,2016-05-02,
darmstadt,49.8851869,8.6736295,2016-05-03,
darmstadt,49.8851869,8.6736295,2016-05-04,
darmstadt,49.8851869,8.6736295,2016-05-06,
darmstadt,49.8851869,8.6736295,2016-04-11,
darmstadt,49.8851869,8.6736295,2016-04-12,
darmstadt,49.8851869,8.6736295,2016-04-13,
darmstadt,49.8851869,8.6736295,2016-04-14,
darmstadt,49.8851869,8.6736295,2016-04-15,
darmstadt,49.8851869,8.6736295,2016-04-18,
darmstadt,49.8851869,8.6736295,2016-04-19,
darmstadt,49.8851869,8.6736295,2016-04-20,
darmstadt,49.8851869,8.6736295,2016-04-21,
darmstadt,49.8851869,8.6736295,2016-04-22,
darmstadt,49.8851869,8.6736295,2016-04-25,
darmstadt,49.8851869,8.6736295,2016-04-26,
darmstadt,49.8851869,8.6736295,2016-04-27,
darmstadt,49.8851869,8.6736295,2016-04-28,
darmstadt,49.8851869,8.6736295,2016-04-29,
essen,51.4582235,7.0158171,2017-03-27,
essen,51.4582235,7.0158171,2017-03-28,
essen,51.4582235,7.0158171,2017-03-29,
essen,51.4582235,7.0158171,2017-03-30,
essen,51.4582235,7.0158171,2017-03-31,
essen,51.4582235,7.0158171,2017-09-01,
essen,51.4582235,7.0158171,2017-09-02,
essen,51.4582235,7.0158171,2017-09-03,
essen,51.4582235,7.0158171,2017-09-04,
essen,51.4582235,7.0158171,2017-09-05,
essen,51.4582235,7.0158171,2017-09-06,
essen,51.4582235,7.0158171,2017-09-07,
essen,51.4582235,7.0158171,2017-09-08,
essen,51.4582235,7.0158171,2017-09-09,
essen,51.4582235,7.0158171,2017-09-10,
essen,51.4582235,7.0158171,2017-09-11,
essen,51.4582235,7.0158171,2017-09-12,
essen,51.4582235,7.0158171,2017-09-13,
essen,51.4582235,7.0158171,2017-09-14,
